Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
253,318.0,100,2,2.5,3.5,8.54,1,0.71
254,335.0,115,4,4.5,4.5,9.68,1,0.93
255,321.0,114,4,4.0,5.0,9.12,0,0.85
256,307.0,110,4,4.0,4.5,8.37,0,0.79
257,309.0,99,3,4.0,4.0,,0,0.76
258,324.0,100,3,4.0,5.0,8.64,1,0.78
259,326.0,102,4,5.0,5.0,8.76,1,0.77
260,331.0,119,4,5.0,4.5,9.34,1,0.9
261,327.0,108,5,5.0,3.5,9.13,1,0.87
262,312.0,104,3,3.5,4.0,8.09,0,0.71
263,308.0,103,2,2.5,4.0,8.36,1,0.7
264,324.0,111,3,2.5,1.5,8.79,1,0.7
265,325.0,110,2,3.0,2.5,8.76,1,0.75
266,313.0,102,3,2.5,2.5,8.68,0,0.71
267,312.0,105,2,2.0,2.5,8.45,0,0.72
268,314.0,107,3,3.0,3.5,8.17,1,0.73
269,327.0,113,4,4.5,5.0,9.14,0,0.83
270,308.0,108,4,4.5,5.0,8.34,0,0.77
271,306.0,105,2,2.5,3.0,8.22,1,0.72
272,299.0,96,2,1.5,2.0,7.86,0,0.54
273,294.0,95,1,1.5,1.5,7.64,0,0.49
274,312.0,99,1,1.0,1.5,8.01,1,0.52
275,315.0,100,1,2.0,2.5,7.95,0,0.58
276,322.0,110,3,3.5,3.0,8.96,1,0.78
277,329.0,113,5,5.0,4.5,9.45,1,0.89
278,320.0,101,2,2.5,3.0,8.62,0,0.7
279,308.0,103,2,3.0,3.5,8.49,0,0.66
280,304.0,102,2,3.0,4.0,8.73,0,0.67
281,311.0,102,3,4.5,4.0,8.64,1,0.68
282,317.0,110,3,4.0,4.5,9.11,1,0.8
283,312.0,106,3,4.0,3.5,8.79,1,0.81
284,321.0,111,3,2.5,3.0,8.9,1,0.8
285,340.0,112,4,5.0,4.5,9.66,1,0.94
286,331.0,116,5,4.0,4.0,9.26,1,0.93
287,336.0,118,5,4.5,4.0,9.19,1,0.92
288,324.0,114,5,5.0,4.5,9.08,1,0.89
289,314.0,104,4,5.0,5.0,9.02,0,0.82
290,313.0,109,3,4.0,3.5,9.0,0,0.79
291,307.0,105,2,2.5,3.0,7.65,0,0.58
292,300.0,102,2,1.5,2.0,7.87,0,0.56
293,302.0,99,2,1.0,2.0,7.97,0,0.56
294,312.0,98,1,3.5,3.0,8.18,1,0.64
295,316.0,101,2,2.5,2.0,8.32,1,0.61
296,317.0,100,2,3.0,2.5,8.57,0,0.68
297,310.0,107,3,3.5,3.5,8.67,0,0.76
298,320.0,120,3,4.0,4.5,9.11,0,0.86
299,330.0,114,3,4.5,4.5,9.24,1,0.9
300,305.0,112,3,3.0,3.5,8.65,0,0.71
301,309.0,106,2,2.5,2.5,8.0,0,0.62
302,319.0,108,2,2.5,3.0,8.76,0,0.66
303,322.0,105,2,3.0,3.0,8.45,1,0.65
304,323.0,107,3,3.5,3.5,8.55,1,0.73
305,313.0,106,2,2.5,2.0,8.43,0,0.62
306,321.0,109,3,3.5,3.5,8.8,1,0.74
307,323.0,110,3,4.0,3.5,9.1,1,0.79
308,325.0,112,4,4.0,4.0,9.0,1,0.8
309,312.0,108,3,3.5,3.0,8.53,0,0.69
310,308.0,110,4,3.5,3.0,8.6,0,0.7
311,320.0,104,3,3.0,3.5,8.74,1,0.76
312,328.0,108,4,4.5,4.0,9.18,1,0.84
313,311.0,107,4,4.5,4.5,9.0,1,0.78
314,301.0,100,3,3.5,3.0,8.04,0,0.67
315,305.0,105,2,3.0,4.0,8.13,0,0.66
316,308.0,104,2,2.5,3.0,8.07,0,0.65
317,298.0,101,2,1.5,2.0,7.86,0,0.54
318,300.0,99,1,1.0,2.5,8.01,0,0.58
319,324.0,111,3,2.5,2.0,8.8,1,0.79
320,327.0,113,4,3.5,3.0,8.69,1,0.8
321,317.0,106,3,4.0,3.5,8.5,1,0.75
322,323.0,104,3,4.0,4.0,8.44,1,0.73
323,314.0,107,2,2.5,4.0,8.27,0,0.72
324,305.0,102,2,2.0,2.5,8.18,0,0.62
325,315.0,104,3,3.0,2.5,8.33,0,0.67
326,326.0,116,3,3.5,4.0,9.14,1,0.81
327,299.0,100,3,2.0,2.0,8.02,0,0.63
328,295.0,101,2,2.5,2.0,7.86,0,0.69
329,324.0,112,4,4.0,3.5,8.77,1,0.8
330,297.0,96,2,2.5,1.5,7.89,0,0.43
331,327.0,113,3,3.5,3.0,8.66,1,0.8
332,311.0,105,2,3.0,2.0,8.12,1,0.73
333,308.0,106,3,3.5,2.5,8.21,1,0.75
334,319.0,108,3,3.0,3.5,8.54,1,0.71
335,312.0,107,4,4.5,4.0,8.65,1,0.73
336,325.0,111,4,4.0,4.5,9.11,1,0.83
337,319.0,110,3,3.0,2.5,8.79,0,0.72
338,332.0,118,5,5.0,5.0,9.47,1,0.94
339,323.0,108,5,4.0,4.0,8.74,1,0.81
340,324.0,107,5,3.5,4.0,8.66,1,0.81
341,312.0,107,3,3.0,3.0,8.46,1,0.75
342,326.0,110,3,3.5,3.5,8.76,1,0.79
343,308.0,106,3,3.0,3.0,8.24,0,0.58
344,305.0,103,2,2.5,3.5,8.13,0,0.59
345,295.0,96,2,1.5,2.0,7.34,0,0.47
346,316.0,98,1,1.5,2.0,7.43,0,0.49
347,304.0,97,2,1.5,2.0,7.64,0,0.47
348,299.0,94,1,1.0,1.0,7.34,0,0.42
349,302.0,99,1,2.0,2.0,7.25,0,0.57
350,313.0,101,3,2.5,3.0,8.04,0,0.62
351,318.0,107,3,3.0,3.5,8.27,1,0.74
352,325.0,110,4,3.5,4.0,8.67,1,0.73
353,303.0,100,2,3.0,3.5,8.06,1,0.64
354,300.0,102,3,3.5,2.5,8.17,0,0.63
355,297.0,98,2,2.5,3.0,7.67,0,0.59
356,317.0,106,2,2.0,3.5,8.12,0,0.73
357,327.0,109,3,3.5,4.0,8.77,1,0.79
358,301.0,104,2,3.5,3.5,7.89,1,0.68
359,314.0,105,2,2.5,2.0,7.64,0,0.7
360,321.0,107,2,2.0,1.5,8.44,0,0.81
361,322.0,110,3,4.0,5.0,8.64,1,0.85
362,334.0,116,4,4.0,3.5,9.54,1,0.93
363,338.0,115,5,4.5,5.0,9.23,1,0.91
364,306.0,103,2,2.5,3.0,8.36,0,0.69
365,313.0,102,3,3.5,4.0,8.9,1,0.77
366,330.0,114,4,4.5,3.0,9.17,1,0.86
367,320.0,104,3,3.5,4.5,8.34,1,0.74
368,311.0,98,1,1.0,2.5,7.46,0,0.57
369,298.0,92,1,2.0,2.0,7.88,0,0.51
370,301.0,98,1,2.0,3.0,8.03,1,0.67
371,310.0,103,2,2.5,2.5,8.24,0,0.72
372,324.0,110,3,3.5,3.0,9.22,1,0.89
373,336.0,119,4,4.5,4.0,9.62,1,0.95
374,321.0,109,3,3.0,3.0,8.54,1,0.79
375,315.0,105,2,2.0,2.5,7.65,0,0.39
376,304.0,101,2,2.0,2.5,7.66,0,0.38
377,297.0,96,2,2.5,2.0,7.43,0,0.34
378,,100,1,1.5,2.0,7.56,0,0.47
379,303.0,98,1,2.0,2.5,7.65,0,0.56
380,311.0,99,1,2.5,3.0,8.43,1,0.71
381,322.0,104,3,3.5,4.0,8.84,1,0.78
382,319.0,105,3,3.0,3.5,8.67,1,0.73
383,324.0,110,4,4.5,4.0,9.15,1,0.82
384,300.0,100,3,3.0,3.5,8.26,0,0.62
385,340.0,113,4,5.0,5.0,9.74,1,0.96
386,335.0,117,5,5.0,5.0,9.82,1,0.96
387,302.0,101,2,2.5,3.5,7.96,0,0.46
388,307.0,105,2,2.0,3.5,8.1,0,0.53
389,296.0,97,2,1.5,2.0,7.8,0,0.49
390,320.0,108,3,3.5,4.0,8.44,1,0.76
391,314.0,102,2,2.0,2.5,8.24,0,0.64
392,318.0,106,3,2.0,3.0,8.65,0,0.71
393,326.0,112,4,4.0,3.5,9.12,1,0.84
394,317.0,104,2,3.0,3.0,8.76,0,0.77
395,329.0,111,4,4.5,4.0,9.23,1,0.89
396,324.0,110,3,3.5,3.5,9.04,1,0.82
397,325.0,107,3,3.0,3.5,9.11,1,0.84
398,330.0,116,4,5.0,4.5,9.45,1,0.91
399,312.0,103,3,3.5,4.0,8.78,0,0.67
400,333.0,117,4,5.0,4.0,9.66,1,0.95
401,304.0,100,2,3.5,3.0,8.22,0,0.63
402,315.0,105,2,3.0,3.0,8.34,0,0.66
403,324.0,109,3,3.5,3.0,8.94,1,0.78
404,330.0,116,4,4.0,3.5,9.23,1,0.91
405,311.0,101,3,2.0,2.5,7.64,1,0.62
406,302.0,99,3,2.5,3.0,7.45,0,0.52
407,322.0,103,4,3.0,2.5,8.02,1,0.61
408,298.0,100,3,2.5,4.0,7.95,1,0.58
409,297.0,101,3,2.0,4.0,7.67,1,0.57
410,300.0,98,1,2.0,2.5,8.02,0,0.61
411,301.0,96,1,3.0,4.0,7.56,0,0.54
412,313.0,94,2,2.5,1.5,8.13,0,0.56
413,314.0,102,4,2.5,2.0,7.88,1,0.59
414,317.0,101,3,3.0,2.0,7.94,1,0.49
415,321.0,110,4,3.5,4.0,8.35,1,0.72
416,327.0,106,4,4.0,4.5,8.75,1,0.76
417,315.0,104,3,4.0,2.5,8.1,0,0.65
418,316.0,103,3,3.5,2.0,7.68,0,0.52
419,309.0,111,2,2.5,4.0,8.03,0,0.6
420,308.0,102,2,2.0,3.5,7.98,1,0.58
421,299.0,100,3,2.0,3.0,7.42,0,0.42
422,321.0,112,3,3.0,4.5,8.95,1,0.77
423,322.0,112,4,3.5,2.5,9.02,1,0.73
424,334.0,119,5,4.5,5.0,9.54,1,0.94
425,325.0,114,5,4.0,5.0,9.46,1,0.91
426,323.0,111,5,4.0,5.0,9.86,1,0.92
427,312.0,106,3,3.0,5.0,8.57,0,0.71
428,310.0,101,3,3.5,5.0,8.65,1,0.71
429,316.0,103,2,2.0,4.5,8.74,0,0.69
430,340.0,115,5,5.0,4.5,9.06,1,0.95
431,311.0,104,3,4.0,3.5,8.13,1,0.74
432,320.0,112,2,3.5,3.5,8.78,1,0.73
433,324.0,112,4,4.5,4.0,9.22,1,0.86
434,316.0,111,4,4.0,5.0,8.54,0,0.71
435,306.0,103,3,3.5,3.0,8.21,0,0.64
436,309.0,105,2,2.5,4.0,7.68,0,0.55
437,310.0,110,1,1.5,4.0,7.23,1,0.58
438,317.0,106,1,1.5,3.5,7.65,1,0.61
439,318.0,110,1,2.5,3.5,8.54,1,0.67
440,312.0,105,2,1.5,3.0,8.46,0,0.66
441,305.0,104,2,2.5,1.5,7.79,0,0.53
442,332.0,112,1,1.5,3.0,8.66,1,0.79
443,331.0,116,4,4.5,4.5,9.44,1,0.92
444,321.0,114,5,4.5,4.5,9.16,1,0.87
445,324.0,113,5,4.0,5.0,9.25,1,0.92
446,328.0,116,5,4.5,5.0,9.08,1,0.91
447,327.0,118,4,5.0,5.0,9.67,1,0.93
448,320.0,108,3,3.5,5.0,8.97,1,0.84
449,312.0,109,2,2.5,4.0,9.02,0,0.8
450,315.0,101,3,3.5,4.5,9.13,0,0.79
451,320.0,112,4,3.0,4.5,8.86,1,0.82
452,324.0,113,4,4.5,4.5,9.25,1,0.89
453,328.0,116,4,5.0,3.5,9.6,1,0.93
454,319.0,103,3,2.5,4.0,8.76,1,0.73
455,310.0,105,2,3.0,3.5,8.01,0,0.71
456,305.0,102,2,1.5,2.5,7.64,0,0.59
457,299.0,100,2,2.0,2.0,7.88,0,0.51
458,295.0,99,1,2.0,1.5,7.57,0,0.37
459,312.0,100,1,3.0,3.0,8.53,1,0.69
460,329.0,113,4,4.0,3.5,9.36,1,0.89
461,319.0,105,4,4.0,4.5,8.66,1,0.77
462,301.0,102,3,2.5,2.0,8.13,1,0.68
463,307.0,105,4,3.0,3.0,7.94,0,0.62
464,304.0,107,3,3.5,3.0,7.86,0,0.57
465,298.0,97,2,2.0,3.0,7.21,0,0.45
466,305.0,96,4,3.0,4.5,8.26,0,0.54
467,314.0,99,4,3.5,4.5,8.73,1,0.71
468,318.0,101,5,3.5,5.0,8.78,1,0.78
469,323.0,110,4,4.0,5.0,8.88,1,0.81
470,326.0,114,4,4.0,3.5,9.16,1,0.86
471,320.0,110,5,4.0,4.0,9.27,1,0.87
472,311.0,103,3,2.0,4.0,8.09,0,0.64
473,327.0,116,4,4.0,4.5,9.48,1,0.9
474,316.0,102,2,4.0,3.5,8.15,0,0.67
475,308.0,105,4,3.0,2.5,7.95,1,0.67
476,300.0,101,3,3.5,2.5,7.88,0,0.59
477,304.0,104,3,2.5,2.0,8.12,0,0.62
478,309.0,105,4,3.5,2.0,8.18,0,0.65
479,318.0,103,3,4.0,4.5,8.49,1,0.71
480,325.0,110,4,4.5,4.0,8.96,1,0.79
481,321.0,102,3,3.5,4.0,9.01,1,0.8
482,323.0,107,4,3.0,2.5,8.48,1,0.78
483,328.0,113,4,4.0,2.5,8.77,1,0.83
484,304.0,103,5,5.0,3.0,7.92,0,0.71
485,317.0,106,3,3.5,3.0,7.89,1,0.73
486,311.0,101,2,2.5,3.5,8.34,1,0.7
487,319.0,102,3,2.5,2.5,8.37,0,0.68
488,327.0,115,4,3.5,4.0,9.14,0,0.79
489,322.0,112,3,3.0,4.0,8.62,1,0.76
490,302.0,110,3,4.0,4.5,8.5,0,0.65
491,307.0,105,2,2.5,4.5,8.12,1,0.67
492,297.0,99,4,3.0,3.5,7.81,0,0.54
493,298.0,101,4,2.5,4.5,7.69,1,0.53
494,300.0,95,2,3.0,1.5,8.22,1,0.62
495,301.0,99,3,2.5,2.0,8.45,1,0.68
496,332.0,108,5,4.5,4.0,9.02,1,0.87
497,337.0,117,5,5.0,5.0,9.87,1,0.96
498,330.0,120,5,4.5,5.0,9.56,1,0.93
499,312.0,103,4,4.0,5.0,8.43,0,0.73
500,327.0,113,4,4.5,4.5,9.04,0,0.84
124,308.0,108,3,3.5,3.5,8.22,0,0.61
219,324.0,110,4,3.0,3.5,8.97,1,0.84
426,323.0,111,5,4.0,5.0,9.86,1,0.92
